iter	Passed	Remaining
0	2	2503
1	6	3034
2	9	3271
3	13	3382
4	17	3430
5	21	3480
6	24	3484
7	28	3487
8	31	3494
9	35	3490
10	38	3496
11	42	3501
12	46	3503
13	49	3500
14	53	3497
15	57	3510
16	60	3508
17	64	3522
18	68	3532
19	72	3529
20	75	3517
21	78	3511
22	82	3495
23	85	3486
24	89	3473
25	92	3460
26	95	3451
27	99	3443
28	102	3446
29	106	3440
30	109	3430
31	113	3424
32	116	3416
33	120	3410
34	123	3401
35	126	3393
36	130	3386
37	133	3374
38	136	3369
39	140	3374
40	144	3373
41	147	3363
42	150	3355
43	154	3351
44	157	3345
45	160	3337
46	164	3331
47	167	3327
48	171	3322
49	174	3315
50	177	3308
51	181	3303
52	184	3297
53	187	3292
54	191	3286
55	194	3280
56	202	3342
57	206	3355
58	210	3349
59	213	3344
60	217	3341
61	220	3335
62	223	3331
63	227	3324
64	230	3321
65	234	3317
66	238	3314
67	241	3311
68	245	3305
69	248	3299
70	251	3294
71	255	3289
72	258	3284
73	262	3280
74	266	3281
75	269	3274
76	272	3272
77	276	3269
78	280	3265
79	283	3260
80	286	3254
81	289	3242
82	293	3239
83	296	3228
84	299	3223
85	302	3217
86	306	3213
87	308	3201
88	311	3192
89	314	3184
90	317	3174
91	320	3164
92	323	3154
93	326	3144
94	329	3134
95	331	3126
96	334	3116
97	337	3108
98	340	3099
99	343	3090
100	346	3081
101	348	3072
102	351	3065
103	354	3055
104	357	3047
105	360	3038
106	363	3029
107	365	3021
108	368	3012
109	371	3004
110	374	2996
111	376	2986
112	379	2977
113	382	2969
114	384	2960
115	387	2953
116	390	2947
117	393	2940
118	396	2933
119	399	2927
120	401	2920
121	405	2915
122	407	2908
123	410	2902
124	413	2895
125	416	2889
126	419	2883
127	422	2878
128	425	2871
129	428	2865
130	431	2859
131	433	2853
132	436	2847
133	439	2840
134	442	2834
135	445	2828
136	448	2822
137	450	2816
138	454	2814
139	457	2811
140	461	2809
141	464	2806
142	467	2804
143	471	2801
144	474	2799
145	478	2796
146	481	2794
147	485	2792
148	487	2786
149	491	2784
150	494	2778
151	496	2772
152	500	2768
153	502	2763
154	505	2757
155	508	2752
156	511	2746
157	514	2741
158	517	2735
159	519	2729
160	522	2723
161	525	2717
162	528	2712
163	531	2706
164	533	2701
165	536	2696
166	539	2691
167	542	2687
168	545	2681
169	548	2676
170	550	2670
171	553	2665
172	556	2659
173	559	2654
174	561	2649
175	564	2643
176	567	2639
177	570	2634
178	573	2630
179	576	2625
180	579	2621
181	582	2616
182	585	2612
183	587	2607
184	590	2603
185	593	2599
186	596	2595
187	599	2590
188	602	2585
189	605	2580
190	608	2576
191	611	2572
192	614	2567
193	616	2563
194	619	2558
195	622	2553
196	625	2548
197	628	2544
198	630	2539
199	633	2534
200	636	2529
201	639	2524
202	642	2520
203	644	2516
204	647	2512
205	651	2510
206	654	2505
207	656	2501
208	659	2496
209	662	2494
210	666	2490
211	669	2487
212	677	2503
213	681	2503
214	685	2501
215	688	2499
216	691	2495
217	695	2494
218	698	2492
219	701	2488
220	704	2484
221	708	2483
222	712	2481
223	715	2479
224	718	2474
225	721	2470
226	725	2468
227	728	2465
228	731	2461
229	734	2457
230	736	2453
231	739	2448
232	742	2444
233	745	2440
234	748	2435
235	751	2431
236	753	2427
237	756	2423
238	759	2419
239	762	2414
240	765	2412
241	769	2409
242	771	2404
243	774	2400
244	777	2396
245	780	2392
246	783	2387
247	786	2384
248	789	2380
249	791	2375
250	794	2371
251	797	2367
252	800	2362
253	803	2358
254	805	2354
255	808	2350
256	811	2345
257	814	2342
258	817	2338
259	819	2333
260	823	2330
261	825	2326
262	828	2322
263	831	2318
264	834	2313
265	837	2309
266	839	2305
267	842	2301
268	845	2297
269	848	2293
270	851	2289
271	853	2285
272	856	2281
273	859	2278
274	862	2274
275	865	2270
276	868	2267
277	871	2263
278	874	2260
279	877	2256
280	880	2253
281	883	2249
282	886	2245
283	889	2241
284	891	2237
285	894	2233
286	897	2229
287	900	2225
288	903	2222
289	906	2218
290	908	2214
291	911	2210
292	914	2206
293	917	2202
294	920	2198
295	922	2195
296	925	2191
297	928	2187
298	931	2183
299	934	2180
300	937	2177
301	940	2173
302	943	2169
303	946	2166
304	949	2163
305	952	2160
306	955	2156
307	958	2152
308	960	2148
309	963	2145
310	966	2141
311	969	2138
312	972	2134
313	975	2130
314	978	2127
315	980	2123
316	983	2119
317	986	2115
318	989	2112
319	992	2108
320	995	2104
321	997	2101
322	1000	2098
323	1003	2094
324	1006	2090
325	1009	2087
326	1012	2083
327	1015	2080
328	1018	2076
329	1020	2072
330	1023	2069
331	1026	2065
332	1029	2062
333	1032	2058
334	1035	2054
335	1037	2051
336	1040	2047
337	1043	2044
338	1046	2040
339	1049	2037
340	1052	2033
341	1055	2030
342	1057	2026
343	1060	2022
344	1063	2019
345	1066	2016
346	1069	2013
347	1072	2009
348	1075	2005
349	1078	2002
350	1081	1999
351	1084	1997
352	1087	1993
353	1090	1990
354	1093	1986
355	1096	1983
356	1099	1980
357	1102	1976
358	1105	1973
359	1108	1969
360	1110	1966
361	1113	1963
362	1116	1959
363	1119	1956
364	1122	1952
365	1125	1948
366	1127	1945
367	1130	1941
368	1133	1938
369	1136	1934
370	1139	1931
371	1141	1927
372	1144	1924
373	1147	1920
374	1150	1917
375	1153	1914
376	1156	1911
377	1159	1907
378	1162	1904
379	1165	1900
380	1167	1897
381	1170	1894
382	1173	1890
383	1176	1887
384	1179	1884
385	1182	1880
386	1185	1877
387	1188	1874
388	1191	1871
389	1194	1867
390	1196	1864
391	1199	1860
392	1202	1857
393	1205	1854
394	1208	1850
395	1211	1847
396	1213	1843
397	1216	1840
398	1220	1837
399	1223	1834
400	1225	1831
401	1228	1827
402	1231	1824
403	1234	1820
404	1237	1817
405	1240	1814
406	1243	1811
407	1246	1808
408	1249	1805
409	1252	1801
410	1254	1798
411	1257	1795
412	1261	1792
413	1264	1789
414	1267	1786
415	1270	1783
416	1273	1779
417	1275	1776
418	1278	1773
419	1281	1769
420	1284	1766
421	1287	1762
422	1290	1759
423	1293	1756
424	1295	1753
425	1298	1750
426	1301	1746
427	1304	1743
428	1307	1739
429	1309	1736
430	1312	1732
431	1315	1729
432	1318	1726
433	1321	1722
434	1324	1719
435	1326	1716
436	1329	1713
437	1332	1709
438	1335	1706
439	1338	1703
440	1341	1700
441	1344	1697
442	1347	1693
443	1349	1690
444	1352	1687
445	1356	1684
446	1358	1681
447	1361	1677
448	1364	1674
449	1367	1671
450	1370	1667
451	1373	1664
452	1376	1661
453	1378	1658
454	1381	1654
455	1384	1651
456	1387	1648
457	1390	1645
458	1392	1641
459	1395	1638
460	1398	1635
461	1401	1631
462	1404	1628
463	1406	1625
464	1409	1622
465	1412	1618
466	1415	1615
467	1418	1612
468	1421	1609
469	1424	1606
470	1427	1602
471	1429	1599
472	1432	1596
473	1435	1592
474	1438	1589
475	1440	1586
476	1443	1583
477	1446	1579
478	1449	1576
479	1452	1573
480	1454	1569
481	1457	1566
482	1460	1563
483	1463	1560
484	1466	1557
485	1469	1554
486	1472	1551
487	1475	1548
488	1478	1544
489	1481	1541
490	1484	1538
491	1487	1535
492	1489	1532
493	1493	1529
494	1495	1526
495	1498	1522
496	1501	1519
497	1504	1516
498	1507	1513
499	1511	1511
500	1514	1508
501	1517	1504
502	1520	1502
503	1523	1498
504	1525	1495
505	1528	1492
506	1531	1489
507	1534	1486
508	1537	1482
509	1540	1479
510	1543	1476
511	1546	1473
512	1549	1470
513	1552	1467
514	1555	1464
515	1558	1461
516	1560	1458
517	1563	1454
518	1566	1451
519	1569	1448
520	1572	1445
521	1574	1442
522	1577	1438
523	1580	1435
524	1583	1432
525	1586	1429
526	1589	1426
527	1592	1423
528	1595	1420
529	1597	1416
530	1600	1413
531	1603	1410
532	1606	1407
533	1609	1404
534	1611	1400
535	1614	1397
536	1618	1395
537	1621	1392
538	1624	1389
539	1626	1385
540	1629	1382
541	1632	1379
542	1635	1376
543	1639	1373
544	1641	1370
545	1645	1368
546	1648	1364
547	1651	1361
548	1654	1358
549	1657	1356
550	1660	1353
551	1663	1349
552	1666	1346
553	1668	1343
554	1671	1340
555	1674	1337
556	1677	1334
557	1680	1330
558	1683	1327
559	1685	1324
560	1688	1321
561	1691	1318
562	1694	1315
563	1697	1312
564	1700	1309
565	1703	1306
566	1706	1303
567	1709	1300
568	1712	1297
569	1715	1293
570	1718	1290
571	1721	1287
572	1724	1284
573	1726	1281
574	1729	1278
575	1732	1275
576	1735	1272
577	1738	1269
578	1741	1266
579	1744	1263
580	1747	1260
581	1750	1257
582	1754	1254
583	1756	1251
584	1759	1248
585	1762	1245
586	1765	1242
587	1768	1239
588	1771	1236
589	1774	1233
590	1777	1229
591	1780	1226
592	1783	1223
593	1785	1220
594	1788	1217
595	1791	1214
